"filename", "language", "Shell Script", "Markdown", "JSON", "JavaScript", "XML", "SCSS", "CSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"d:\Documents\GitHub\berthong\frontend\src\components\comment\Input.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Documents\GitHub\berthong\frontend\src\components\comment\InputField.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\Documents\GitHub\berthong\frontend\src\components\comment\SignField.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 10, 7, 44
"d:\Documents\GitHub\berthong\frontend\src\components\comment\index.css", "CSS", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 17, 3, 214
"d:\Documents\GitHub\berthong\frontend\src\components\comment\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Documents\GitHub\berthong\frontend\src\components\editable\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\Documents\GitHub\berthong\frontend\src\components\editable\QuillEditor\CustomToolbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"d:\Documents\GitHub\berthong\frontend\src\components\editable\QuillEditor\Editor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 7, 50
"d:\Documents\GitHub\berthong\frontend\src\components\editable\QuillEditor\Editor2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 5, 130
"d:\Documents\GitHub\berthong\frontend\src\components\editable\QuillEditor\ToolbarOptions.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 3, 87
"d:\Documents\GitHub\berthong\frontend\src\components\editable\QuillEditor\tools.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 1, 35
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Editor.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 10, 1, 56
"d:\Documents\GitHub\berthong\frontend\src\components\editable\SlateEditor\Editor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 4, 16, 190
